year,month,day_idx,cumflow
2025,10,9,0.8817851582771148
2025,10,10,0.876595744680851
2025,10,11,0.9897249610793981
2025,10,12,1.0099636741048261
2025,10,13,0.9855734302023871
2025,10,14,1.059782044628957
2025,10,15,1.0462895692786716
2025,10,16,1.075350285417748
2025,10,17,1.2294758692267773
2025,10,18,1.3083549558899845
2025,10,19,1.3488323819408408
2025,10,20,1.4002075765438506
2025,10,21,1.4946549039958485
2025,10,22,1.5807991696938246
2025,10,23,1.6010378827192528
2025,11,1,1.822106901920083
2025,11,2,1.8039439543331603
2025,11,3,1.6612350804359108
2025,11,4,1.6825116761805916
2025,11,5,1.568344577062792
2025,11,6,1.6835495588998444
2025,11,7,1.7172807472755578
2025,11,8,1.675765438505449
2025,11,9,1.7027503892060198
2025,11,10,1.5423975090814739
2025,11,11,1.5948105864037365
2025,11,12,1.491022314478464
2025,11,13,1.466632070576025
2025,11,14,1.5449922158796057
2025,11,15,1.347794499221588
2025,11,16,1.3228853139595227
2025,11,17,1.3675142708873897
2025,11,18,1.4069538142189932
2025,11,19,1.451063829787234
2025,11,20,1.3939802802283343
2025,12,1,1.2927867151011936
2025,12,2,1.3934613388687078
2025,12,3,1.4474312402698495
2025,12,4,1.4240788790866632
2025,12,5,1.5486248053969902
2025,12,6,1.5481058640373637
2025,12,7,1.5107420861442658
2025,12,8,1.5122989102231448
2025,12,9,1.525272444213804
2025,12,10,1.58858329008822
2025,12,11,1.5122989102231448
2025,12,12,1.4915412558380903
2025,12,13,1.4692267773741567
2025,12,14,1.3789309807991696
2025,12,15,1.4157758173326414
2025,12,16,1.442241826673586
2025,12,17,1.3996886351842242
2025,12,18,1.389309807991697
2025,12,20,1.332226258432797
2025,12,21,1.4521017125064868
2025,12,22,1.385158277114686
2026,1,1,0.0
2026,1,2,0.049943246311010214
2026,1,3,0.03304325892294113
2026,1,4,0.008576113002900732
2026,1,5,0.017908941858998606
2026,1,6,0.017404464623533844
2026,1,7,0.06205069996216417
2026,1,8,0.06709547231681168
2026,1,9,0.11905662756968094
2026,1,10,0.12031782065834284
2026,1,11,0.1349476604868205
2026,1,12,0.14428048934291837
2026,1,13,0.14982973893303064
2026,1,14,0.12258796821793416
2026,1,15,0.12889393366124358
2026,1,16,0.1336864673981586
2026,1,17,0.125867070248455
2026,1,18,0.154117795434481
2026,1,19,0.1927103039475344
2026,1,20,0.2068356665405473
2026,1,21,0.2199520746626309
2026,2,1,0.08677008449993695
2026,2,2,0.2030520872745617
2026,2,3,0.2721654685332324
2026,2,4,0.21944759742716613
2026,2,5,0.15991928364232566
2026,2,6,0.2645983100012612
2026,2,7,0.2456804136713331
2026,2,8,0.2918400807163577
2026,2,9,0.30621768192710297
2026,2,10,0.29234455795182246
2026,2,14,0.316307226636398
2026,2,15,0.3662504729474083
2026,2,16,0.4610921932147811
2026,2,17,0.48858620254761
2026,2,18,0.5069996216420734
2026,2,19,0.579392104931265
2026,2,20,0.5438264598310001
2026,3,2,0.4000504477235465
2026,3,3,0.1750536007062682
2026,3,4,0.3369907932904528
