,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[KR] 신한지주,[KR] 하나금융지주,[KR] KB금융,[KR] 우리금융지주,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 소프트웨어 ETF,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 이머징 마켓,[US] 선진국 마켓,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드,[IDX] 닛케이225,[KR] 코스피200롱150숏선물
[KR] 현대로템,0.4855519084571312,-0.5614349811257634,0.4162283507151992,0.9549810552937624,0.8274958789153655,0.4636348543951426,0.2858922322681449,0.43077758956249573,0.21805775565032787,0.9664883227390969,1.0,0.7439804249674414,0.42358257404741395,-0.15513643025876428,-0.751387641928012,0.3833619809217898,0.6984387982741946,0.4536393263708239,0.3514556562937251,0.858342445459251,0.7984531296183106,0.8802877014497247,0.7566343230256886,0.8567041143706103,0.8002837847132276,0.9363987390302135,0.8063071556610846,0.8153388921264314,0.8155608652778443,0.571266259089492,0.5721528739115213,0.8147157853256228,0.7976769815490495,0.7859772687617554,0.6498258196526056,0.446714638113509,0.8238669781040839,0.37411886618805906,0.8996314300909348,0.16734457789976154,0.39003922586839496,-0.0029658132695815063,0.4559558394412842,0.40651093415701617,0.3268823342040859,0.621443099215595,0.5123769354070006,0.8983693164505993,0.7620137294128113,0.9233055674591603,0.7338797083782291,0.22131725358494184,0.5740420575320526,0.6949575286581855,0.8305917264768743,0.9154057738909301,0.7279225276824652,0.3806108510888537,0.5350280498587705,0.48770740890112707,0.49869842218990806
[KR] 네이버,-0.03882036460262259,-0.28741557077348573,-0.06518406260716282,0.8283201052070504,0.5421735529159643,-0.1287579097513752,-0.23987927629449998,-0.09368030477021269,-0.3780834821504673,0.6138489161289504,0.7439804249674414,1.0,0.8800483067017572,-0.5142333074358469,-0.31769054623096193,-0.20400051769449945,0.24361060433522602,0.8702403356887747,-0.1818354588308505,0.38159472742386036,0.39711494251820634,0.3800511573668412,0.18232503436913405,0.3368894527342171,0.243695605853104,0.506765119611951,0.2626409768023877,0.26305170897423646,0.2632425352028008,0.010797257410178658,0.011873714981928862,0.26294636690815903,0.23692407799631046,0.22359221544487945,0.048797151429927785,-0.12652075592296635,0.29816533701668646,-0.13608718111771959,0.41912047487699877,-0.275120969683728,-0.15807916224379162,-0.5183765398548348,-0.055961163902876775,-0.10227777681386188,-0.27146114076809413,0.42570615268093914,-0.0941167787509877,0.6574553098909561,0.4470936619324261,0.47148287649227766,0.23457099817356858,-0.38695280906613877,0.07374451380370323,0.1850695904357765,0.3231648887958764,0.46212465359119453,0.19546082125902267,-0.21427088125534935,-0.004600653235198057,-0.1222857591921278,-0.029746948747054407
[KR] 카카오,-0.4749113246898824,-0.1745692490723024,-0.4820026766372064,0.5673639233456065,0.14481294313614046,-0.548234371754977,-0.6374857128902199,-0.5224415420524767,-0.7418670805264079,0.22752340936585497,0.42358257404741395,0.8800483067017572,1.0,-0.7733087186540006,-0.0905337589587424,-0.6018948983494804,-0.21883566847296,0.9607347698173351,-0.5936848490789859,-0.05689909062610331,0.17078807363827436,-0.030186670944364617,-0.24910222244339164,-0.07357318907627007,-0.17511334344167462,0.10895660812888842,-0.154227877422732,-0.12770606523185568,-0.12749025102394207,-0.4328613549680397,-0.43181889781182287,-0.13352622957486254,-0.15499518097974777,-0.17427267491854975,-0.3519756255109296,-0.539774418434112,-0.021074300725512408,-0.547679476220437,0.0404223728159114,-0.6440607378733616,-0.5604274430936788,-0.6077728687969736,-0.4802276652452216,-0.5178596308376547,-0.6559932877508868,0.4086994333951607,-0.5057263444569499,0.47760745292720935,0.05986247155991768,0.10134705995974316,-0.2193552975827997,-0.6140138840922363,-0.36706583937643433,-0.25301931143825945,-0.09784079341872647,0.06528728941714253,-0.23586024425078178,-0.5999340915073665,-0.42588893927623117,-0.5457533432454078,-0.4662058540492475
[KR] LG전자,0.7742847008479293,0.41252795756378463,0.7959061123756789,-0.2084750308673513,0.33599727852551137,0.7046679374503086,0.8843015747806623,0.8074421870732406,0.851614790242859,0.09060294705148496,-0.15513643025876428,-0.5142333074358469,-0.7733087186540006,1.0,0.2340048378868801,0.7994072249699659,0.5859141244218291,-0.7541091012381639,0.8466056541504686,0.33258707144896626,-0.29827118288628685,0.20152192070795585,0.3873659292513998,0.2275188730130939,0.30416153526088086,0.12388937137115756,0.271725117791659,0.20948738105779502,0.20899464396215428,0.6038727861083268,0.6030859805707298,0.22616066859869197,0.24924780953690967,0.2839308936423842,0.4615902437162404,0.7213954957771129,-0.010781320532494018,0.8118267271040854,0.1169996955236502,0.9208874039227207,0.7846547965345972,0.16801445181452465,0.7596678810904354,0.7938698813781294,0.7396640655120676,-0.6736120951545539,0.6395974088284992,-0.4916447310189993,0.4011174962597966,0.02913095875842955,0.44686071848654896,0.26097888209458725,0.6701251857616943,0.5338372878899131,0.2987275183866241,0.13227854891042942,0.475034720931068,0.7013017901347631,0.6546541066477854,0.7292767766264947,0.7592288138613876
[KR] KODEX 2차전지산업,-0.3271666795529022,0.8786638080259648,-0.2606599914041595,-0.5632325116324816,-0.39252942662986257,-0.4634018493928561,-0.1915683268482379,-0.29428859650219436,-0.2786970777638597,-0.7048943171935106,-0.751387641928012,-0.31769054623096193,-0.0905337589587424,0.2340048378868801,1.0,-0.3498522343109173,-0.4377149231144928,-0.09081530778207321,-0.2517294877426394,-0.6899145401478999,-0.9533511575907959,-0.8095797946701757,-0.743251444528036,-0.8112877971620729,-0.7937413134035239,-0.7771522317170207,-0.7898582068264636,-0.8326741436264862,-0.8327759062886142,-0.5444352428447097,-0.5448826114542011,-0.8221780357448266,-0.8100790273261714,-0.7892123839374648,-0.6802733017070021,-0.4367745643838526,-0.9265045700306045,-0.2798674101912587,-0.8163880582515664,-0.06352925963476098,-0.33065385288744065,-0.5577959989803288,-0.3378234131263298,-0.2942668832631778,-0.4234309633296139,-0.8367482568585731,-0.5339309995497307,-0.8799564991875255,-0.3852606991453984,-0.8583622175281427,-0.6206119396986145,-0.7000793955468323,-0.4148028587970883,-0.5396959869532436,-0.7335158181928126,-0.793880324086231,-0.6140283052279203,-0.44186116417992144,-0.44261320616710936,-0.46255642286622844,-0.36283410154515194
[KR] KODEX 자동차,0.9731231540021709,-0.06843314686615232,0.9680232337621105,0.2827291119951079,0.665816624140462,0.9840950906184126,0.9761779018430248,0.9771041596326462,0.9780334651709263,0.5923823885814962,0.3833619809217898,-0.20400051769449945,-0.6018948983494804,0.7994072249699659,-0.3498522343109173,1.0,0.8825684408576121,-0.5669789534543307,0.9820848592614462,0.7916678820566955,0.2929032160879853,0.7246906449681509,0.8402569603099933,0.7470905007083004,0.7972712262150148,0.6500067396285457,0.7912400852704206,0.7625458856210435,0.7621482264768078,0.9263093227777998,0.9259128493595287,0.7718377905299458,0.7900730184192776,0.8114967575700676,0.9065714547927805,0.9869601701246976,0.6041437427897368,0.9803529146988266,0.6897592742412808,0.9379154437443333,0.9896564450472738,0.44016094256669486,0.9731024717492592,0.976976151337142,0.9711980391138503,-0.10128555904068694,0.9714052217429594,0.1442486420846012,0.731472266429417,0.6205114164999309,0.8519201104650058,0.5860215981162804,0.9503818246099922,0.9129957301928663,0.8034084801206048,0.6877475166024102,0.8994905737450066,0.9675257509628573,0.9613972658136518,0.9840739257880405,0.9720946297906109
[KR] TIGER 200 건설,0.9558082936728514,-0.15069408353979405,0.9330017058764993,0.6429533648826024,0.9099931970388165,0.9034872694027446,0.8718835855477857,0.9362125412388582,0.7908245687933233,0.8499491049636336,0.6984387982741946,0.24361060433522602,-0.21883566847296,0.5859141244218291,-0.4377149231144928,0.8825684408576121,1.0,-0.17028443932264267,0.9006629670864914,0.9416135331972727,0.43809957675852795,0.8648857817600093,0.8997473013241023,0.8649247037693173,0.8746104688062498,0.8526561772593918,0.8862476446998574,0.8431151504521986,0.842994880486716,0.9330494068901566,0.9332392107598638,0.8551445687361257,0.8550254041774479,0.8708816967065203,0.8850581974054419,0.9065434675716486,0.6854450788477605,0.9110997457733442,0.8410802077296362,0.8188289988882514,0.9000557394772482,0.12643018000405934,0.9408275661367095,0.9244586642969064,0.8176311458412828,0.028132498742248033,0.899295563205245,0.39741176361277114,0.9241657967036184,0.8008506643710213,0.9575924206910643,0.3889524028655585,0.9778891145389105,0.9766234378733446,0.9208871692207666,0.8699762855513272,0.9603562372866384,0.8351991497454261,0.9317590197248699,0.9138990715488808,0.9509163973743254
[KR] TIGER 의료기기,-0.4315911440170358,-0.1027640090304584,-0.45339282982009976,0.5832686036485227,0.18592107402769173,-0.5025171982401904,-0.6003691827759465,-0.483440187361419,-0.7083709440056242,0.2679385415189464,0.4536393263708239,0.8702403356887747,0.9607347698173351,-0.7541091012381639,-0.09081530778207321,-0.5669789534543307,-0.17028443932264267,1.0,-0.5526736926519831,-0.017727594834487617,0.2351421491944158,0.008375581262850453,-0.20717691771593616,-0.03592726152475856,-0.1412166368338192,0.1517882920490729,-0.11213837722206547,-0.08712003207451535,-0.08667921368279863,-0.3876051174483655,-0.38646562885306907,-0.0921378097535782,-0.11417529145051812,-0.13490769821295812,-0.31139543541761594,-0.506545273465178,0.020391959545504216,-0.5192127711461229,0.07524708629618274,-0.6149554157420921,-0.5263935829300165,-0.5906052362367606,-0.4500173831729463,-0.4878737690901093,-0.6273689533070567,0.4304177246035171,-0.465063552791135,0.5050295351592092,0.09195262827267821,0.13100886493819905,-0.18499202228084946,-0.5784245096247109,-0.3316773915974496,-0.21528062980254367,-0.06063272534519553,0.099458955136004,-0.19491045494531006,-0.5710514527989168,-0.3899467148502168,-0.5101933944933085,-0.4441849399463997
[KR] TIGER 반도체,0.9873945065201085,0.036072591652938905,0.9866119152038348,0.256664754533472,0.6855358779757817,0.9671770362290821,0.9951294714433127,0.9949621075140844,0.9661696058827566,0.5711628953734136,0.3514556562937251,-0.1818354588308505,-0.5936848490789859,0.8466056541504686,-0.2517294877426394,0.9820848592614462,0.9006629670864914,-0.5526736926519831,1.0,0.7665780938447387,0.20512041679089904,0.6758076604293926,0.796529942471691,0.696067487731144,0.7472671034087323,0.6087563289763458,0.7439673318651295,0.7002573311674718,0.6999001580584894,0.9191773709895775,0.9188534788532979,0.712856262981306,0.7287216828804683,0.7543662269796398,0.8586399516658095,0.9768748087625978,0.5137249001961532,0.9958028968028388,0.6312849368750012,0.9778519749799873,0.9892335203803829,0.3353900749882414,0.9852882108201787,0.9923455244082543,0.946590976755691,-0.22193027410080995,0.9419473942518535,0.05529534451475216,0.7450722147765662,0.5615044774724509,0.8404783787294993,0.5066662825879166,0.957900863295775,0.8997738047315892,0.7634092339536506,0.6421174620171349,0.8716256424998106,0.9375236857046065,0.9448000885467868,0.9692845245293208,0.9770022456397509
[KR] TIGER 증권,0.8486993595195909,-0.4229553596862596,0.7992082807684958,0.7722906545300976,0.8950559209157876,0.8377757942807359,0.7198553058633929,0.816996218272576,0.673857872832275,0.950573011263249,0.858342445459251,0.38159472742386036,-0.05689909062610331,0.33258707144896626,-0.6899145401478999,0.7916678820566955,0.9416135331972727,-0.017727594834487617,0.7665780938447387,1.0,0.6857043835084041,0.979251246934178,0.963748291758763,0.9767670779664229,0.9674614822306148,0.9722744101673568,0.9694586534643748,0.9557285050706454,0.9557025471984976,0.8911224253899831,0.8915025978896252,0.9606850616697602,0.9566937932348356,0.9603017598386236,0.9190479842822091,0.8313827360992846,0.8738575058249546,0.7791469126323401,0.9687579489179747,0.6188005222823432,0.7903824397074869,0.24044297435475287,0.8304077248424602,0.7986092839598808,0.7469296691273535,0.35356718173869883,0.8634660419444673,0.6705828221755143,0.892931314918472,0.9506474905152329,0.9595752837743983,0.47963929889994456,0.8957805094854558,0.9540529449089865,0.9879655622038308,0.9825682269662642,0.9686243509504797,0.7760463945799165,0.874524394488549,0.8570853228445515,0.8595940180176567
[KR] TIGER 헬스케어,0.29683565360266806,-0.7852606445364905,0.20927878001058994,0.6445439453609918,0.43669443111222506,0.4266013675024089,0.14349966528905767,0.25245652445460776,0.20772621330027496,0.7395844361253604,0.7984531296183106,0.39711494251820634,0.17078807363827436,-0.29827118288628685,-0.9533511575907959,0.2929032160879853,0.43809957675852795,0.2351421491944158,0.20512041679089904,0.6857043835084041,1.0,0.8038180216610677,0.7203993202270149,0.7958529827813364,0.7653581768651581,0.7960148016118577,0.7687319209277396,0.8122837705619739,0.8127406114387558,0.501152555382365,0.5017730413353709,0.8023403146987134,0.7874584567235514,0.7627621776157648,0.6378759729324431,0.3712591121034813,0.9171772566586883,0.21545061953395672,0.8132733882900662,-0.0007782682729252865,0.2736943473802525,0.46415715302507743,0.280889660441411,0.2352171184960445,0.34529607949366753,0.873139638287433,0.48056029272703177,0.9254147114428153,0.4087710375687292,0.8548862148928973,0.5892805805494266,0.6170934423558827,0.3746195437165985,0.5149591602877049,0.7177422637594847,0.7921546795723059,0.5906968419205175,0.37167129110795405,0.3991296285895856,0.4182623230838906,0.31009391999124586
[KR] TIGER 은행,0.762067071798478,-0.5720505536183006,0.7022501329017401,0.7663346077992561,0.8179432360522683,0.7847766146711387,0.6238163644619298,0.7274259211941565,0.6108087696553613,0.9424083341746201,0.8802877014497247,0.3800511573668412,-0.030186670944364617,0.20152192070795585,-0.8095797946701757,0.7246906449681509,0.8648857817600093,0.008375581262850453,0.6758076604293926,0.979251246934178,0.8038180216610677,1.0,0.9724984691866609,0.9977619155644113,0.9870689768551039,0.9859798735442201,0.98223202446955,0.9833132282629514,0.9833596182249721,0.852796758142699,0.8532133013305613,0.9842798655519001,0.9776810142869314,0.974129684017044,0.912095695955921,0.7749809389459329,0.9454586251115762,0.6908224813960429,0.9897941701820252,0.5033153389111183,0.7158833404465381,0.3447320471437907,0.747391401816569,0.7103278516032531,0.7096848259924846,0.508723350988226,0.8298635395410866,0.7698528911674773,0.8052350129318101,0.9851271720418051,0.9293851892313674,0.5719837901090724,0.8195930651942421,0.901385113324887,0.9808055303248249,0.9915450362215331,0.9331370538795859,0.7409919836741645,0.8183303674524312,0.8094812104738874,0.7807702006439683
