,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] 에이피알,[KR] KODEX 조선TOP10,[KR] KODEX AI전력핵심설비,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 샌디스크,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[KR] KODEX 조선TOP10,0.7368762606959482,0.6701488031145523,0.365863380546886,0.6241554707300786,0.7988490786610608,0.6685056833807476,0.7091591400520543,0.6788426761565207,0.5388018032274422,0.7137774876168647,0.6664779868289791,0.46035331718780026,0.8893902725545829,0.7557678464330136,0.7137290089558924,0.2532674305371265,1.0,0.30896311328633547,0.24963116816323802,0.6894803645547933,0.10355856795966698,0.38237594491418303,0.6749983165350969,0.7948379660179451,0.5060693515667498,0.5530689058621427,0.2297955919464495,0.4258354407796859,0.4504993878969163,0.06501339629835037,0.0810385747604179,0.42299628550856644,0.5135410371388933,0.5346230725545255,0.5257695802795441,0.3387227689515575,0.5971462728386118,0.7083560202727015,0.5192418804579688,0.38799822044580734,-0.3258445541659178,0.20405151939482769,0.27503122489855086,0.11151440263395387,0.16842018991369792,0.152260883048121,0.5986313584967673,0.7008584787913112,0.5037830441994712,0.137953589862131,0.4001514692654259,0.5181806336090494,0.36195893327386697,0.505281211675006,0.4508218857641902,-0.11507956473362549,-0.11013924573315527
[KR] KODEX AI전력핵심설비,0.9966441441152221,0.9945929891180433,0.9867664898446925,0.9879217367178436,0.8617499906867143,0.9590387985508164,0.993860303826941,0.9951255723471256,0.9970086755027869,0.9851205487163747,0.9960963889303586,0.9370810068565097,0.5907690134821504,0.880651302896583,0.9811110527506255,0.9927511204156898,0.30896311328633547,1.0,0.974337431467067,0.9871813980417276,0.9970799962948296,0.9845696262580144,0.9965730925952591,0.9956295206808191,0.9820238888842044,0.9958643616730949,0.9240321225483105,0.9562044403942592,0.9549766521042558,0.9691259299385766,0.9692357365310822,0.957006552437912,0.9642895916300391,0.9641723815773684,0.9115122885732416,0.9908515285355698,0.9787545089393208,0.9836650740254108,0.9775841655778834,0.9822186223586789,0.989987087956604,-0.9698918648867054,0.9906263547383926,0.994359370355372,0.9940350350124905,0.9018597287165585,0.04834036457289465,0.9850044312051108,0.9557606267440613,0.9759920889318253,0.9201139447806511,0.7213677506593924,0.9857228857379614,0.9504553474596033,0.9548656365404247,0.9406294547128019,0.9735202043948116
[KR] KODEX 2차전지산업,-0.040630490721223975,0.33979512987190913,0.06231149906088948,0.06929459251737705,-0.7918662780527049,-0.39269732109004085,-0.22675546363631208,0.052711126014157374,-0.11309793693383494,0.04791801547362789,-0.16899131364821415,-0.46437015143800897,-0.6127853856849381,0.9218410546440556,0.39318309867719536,-0.11983845743976423,0.24963116816323802,0.974337431467067,1.0,0.09877026700154241,-0.029952395286138522,-0.05865135696648186,0.009376320302425968,-0.14277436525009135,-0.26532828556431237,-0.14585478009678032,-0.4178541206147736,-0.38226670680230873,-0.3826537604496744,-0.040492472158564795,-0.03977256472861405,-0.3604512168434325,-0.3114891972636633,-0.3091227690148802,-0.11626553980346081,0.10677908063735704,-0.3264896309750175,-0.04725703206566463,-0.33519961855575275,0.7640254775299484,0.7372270666545598,0.3713187121589477,0.9499992572209393,-0.0598937639417975,-0.04979876345296842,-0.6298758755958229,0.6959973683363222,-0.19009128512908546,-0.4195129490991304,-0.4738011278786463,-0.6254713252452682,-0.6180788723253601,-0.2653726391453486,-0.34997512888360305,-0.20728928126837998,-0.003049314539400509,-0.11426384500917071
[KR] KODEX 자동차,0.9854965953308734,0.9546177504447283,0.9877225308068626,0.9935687848261527,0.49621296581148056,0.8640633946258552,0.9388385549563282,0.9931557460238405,0.9701644642687268,0.9977857170422137,0.9522496705556909,0.8220590592934875,0.5973447549714365,0.3515119074266008,0.9469317656264489,0.9585936329194825,0.6894803645547933,0.9871813980417276,0.09877026700154241,1.0,0.9750973697219638,0.9540180707813389,0.9892310615181497,0.9644847776352183,0.9022013526395231,0.9645058579550742,0.8295699737004023,0.8590283643944243,0.8587531088268492,0.9707234314989305,0.9711884096009176,0.8702784609379629,0.8940650716953704,0.8954533664606844,0.9270560778733569,0.9871332463829563,0.8900926605751001,0.9724252279865664,0.883388368177042,0.6899559871278522,0.7042934190068306,-0.8391350628618635,0.9751349621422047,0.9698258479794468,0.9705645004806936,0.6727622013494529,-0.16486618375656742,0.9413352280824351,0.8415680906978692,0.80634740102514,0.6827118241166567,0.6401662046642153,0.9202593924534969,0.877263448626737,0.9313904993006412,0.9109283405877625,0.9318866078128925
[KR] TIGER 200 건설,0.9931589862214241,0.9211842303522985,0.9803046728527236,0.9764047516041109,0.5943622341288344,0.8979305130306697,0.9692490889192819,0.9886907984877585,0.9908702980135915,0.9776209845638553,0.9854637796915238,0.8568358914392366,0.6514272218136339,0.2049278975704352,0.8819021610487319,0.992488700736275,0.10355856795966698,0.9970799962948296,-0.029952395286138522,0.9750973697219638,1.0,0.9822294280907694,0.9923190089218498,0.9869285200102579,0.943293947111593,0.9856981390295002,0.8618105430606527,0.894168403066363,0.8934615258855408,0.9626361326907301,0.9629200979635223,0.9023454970707945,0.9228975038938375,0.9239380376452898,0.9111706109060326,0.9769166761418304,0.9279875940443486,0.9812434696835399,0.9249677647871813,0.5895386863380874,0.6155907548810777,-0.9166427778108204,0.990809063556792,0.9930957427313709,0.9935956866890763,0.7478181795321491,-0.3356882347697185,0.9658951193226486,0.8852954244450792,0.8698157461540285,0.754204915854143,0.6933998151035279,0.954958188205308,0.9044927116083588,0.9405691838292647,0.9613979768622098,0.9805766197339238
[KR] TIGER 의료기기,0.9801474958399153,0.9061170637745394,0.9521840939163899,0.956905809423303,0.6221538937239511,0.8929676629859378,0.964442585185924,0.9715275539699528,0.9789918447221382,0.956543041106417,0.9757360866351711,0.8586358037369127,0.6928016198847251,0.19493154319085115,0.8626999231711137,0.9765738559571685,0.38237594491418303,0.9845696262580144,-0.05865135696648186,0.9540180707813389,0.9822294280907694,1.0,0.9766447324992135,0.9745147886627958,0.960905286361352,0.9744412384810079,0.8575742086290811,0.8907665608188673,0.8901271685564499,0.9379121464157735,0.9378162523427659,0.8976366581225516,0.9154259907480654,0.9157085453414712,0.8946645894711938,0.9458577884024058,0.9224127060272509,0.9671346005026118,0.9157226601355734,0.5331825278677653,0.5488372699937472,-0.9103850168604687,0.9707812814577107,0.9707972510593603,0.9744950833004314,0.7548141305068002,-0.3366919658861731,0.9562348592294175,0.8780452188775398,0.8686843454831411,0.7626025644850484,0.7105091774574505,0.9407108331900911,0.8945169673380998,0.921360436185649,0.9469939497608869,0.9686688547929309
[KR] TIGER 반도체,0.9978144189009668,0.9392331845093119,0.9913257280229465,0.991208885765817,0.5737372503386539,0.8995981211009965,0.9670551924467593,0.9977326682416798,0.991507814106693,0.9921735386606905,0.9809588855974318,0.8576006425083399,0.6464350249889943,0.2592924299781744,0.909840833209241,0.9844858887025324,0.6749983165350969,0.9965730925952591,0.009376320302425968,0.9892310615181497,0.9923190089218498,0.9766447324992135,1.0,0.9860834660624472,0.9384133737713264,0.9837862149174258,0.8665783032466546,0.897810613024211,0.8974387070790683,0.9768620527702423,0.9771847936191415,0.9069358836484264,0.9283913780613086,0.9295819724337367,0.9380447139324333,0.9881928713667518,0.9290476141224655,0.989946873376303,0.9254584722304555,0.6254180205838124,0.6412181358654081,-0.8939954975184211,0.9892584937856046,0.9914121529393547,0.9918300247410525,0.7336368583136464,-0.25314828298143405,0.9694169571108862,0.8836783620606429,0.8576970991363886,0.7420631581876813,0.6979854784297117,0.9519572573665398,0.910424669293648,0.9525978524837381,0.9413292803988906,0.9655301977540899
[KR] TIGER 증권,0.9934906894549852,0.8773277675112389,0.9729801212470488,0.9714980826072507,0.6892453601019242,0.9537494531848683,0.9935224338272551,0.9777751417617038,0.9971615546284524,0.9753105237020542,0.997395227336382,0.9213350280241205,0.735629380478739,0.11558249498435913,0.8397198776010799,0.9940294932312537,0.7948379660179451,0.9956295206808191,-0.14277436525009135,0.9644847776352183,0.9869285200102579,0.9745147886627958,0.9860834660624472,1.0,0.9723814340625271,0.998154804609486,0.92296276870127,0.947718531322463,0.9474470563656034,0.9738070416694141,0.9742204795595482,0.9531247279268172,0.967139265910069,0.9677190079571749,0.945122818653807,0.9626109304996823,0.9703267121018093,0.9869483557359624,0.9678096428413282,0.5029642155433276,0.5234829272554308,-0.9459006547798916,0.9886945186602913,0.991180342436997,0.9897689620727351,0.8255669851040114,-0.3600238017667737,0.9904033410534189,0.9394259156904419,0.925223032310691,0.8348957783389012,0.7830411599332934,0.9845090957194194,0.9586125771904427,0.979268382394515,0.9398758196988574,0.9788303220552456
[KR] TIGER 헬스케어,0.9538946654721113,0.8039937888293723,0.9132150886344886,0.9185060916905863,0.7784659690368523,0.9648414922492636,0.9853127057970819,0.9222043626231118,0.9643196861460153,0.9198595363066802,0.9752563302713726,0.9472018644543463,0.8171683494409354,0.010092133055364166,0.7518627784656734,0.9578726782007607,0.5060693515667498,0.9820238888842044,-0.26532828556431237,0.9022013526395231,0.943293947111593,0.960905286361352,0.9384133737713264,0.9723814340625271,1.0,0.9738914465945304,0.9460103105159627,0.9628643872005694,0.9626736148692533,0.9355558432263734,0.935907237136227,0.9646891868980115,0.9692622029066669,0.968274712450138,0.9191228859274453,0.8976929924513696,0.973334667317641,0.9428149531014952,0.9718972147932294,0.3532623918461304,0.36788005307857763,-0.9525266522336536,0.9576029635033463,0.9475877508151236,0.945532110720859,0.8853449147532307,-0.42512946569264265,0.9759612737973352,0.9485880080988369,0.9569493658346683,0.8910767949292359,0.8483639958084453,0.971992375928887,0.9607484036611909,0.9608046303461626,0.8945318110614349,0.9487670144720133
[KR] TIGER 은행,0.9924280756024819,0.872479183651375,0.9718568765696425,0.9704449687857407,0.6916517213123907,0.9535183550112981,0.9935948820197547,0.9763109259703684,0.9957741905904555,0.9747210690687419,0.9950862444256006,0.9249634895642432,0.7329784745507916,0.11072416726084923,0.840746848421001,0.9915712003784791,0.5530689058621427,0.9958643616730949,-0.14585478009678032,0.9645058579550742,0.9856981390295002,0.9744412384810079,0.9837862149174258,0.998154804609486,0.9738914465945304,1.0,0.9260433998263713,0.9490044734407772,0.9484677513179751,0.9752718209480005,0.9755321980467025,0.9544257994818831,0.9669053458189645,0.967040352135327,0.9420255293006216,0.9602594834692183,0.9706282679261693,0.9831135974007069,0.9660378622440604,0.49742919363763916,0.5175984281959064,-0.9436193987041568,0.9861971401588,0.9892468977728414,0.9877673720186477,0.827549680226656,-0.3625627777322669,0.9898609581645499,0.9384937344834374,0.926025539513589,0.8363051392054057,0.7830999483851244,0.9858735868234784,0.9578657500431211,0.9775944585394183,0.935067854235847,0.9766686573116514
[IDX] 다우 존스,0.8893927126337527,0.6681237411008589,0.8572041283526375,0.8565369491893312,0.8644074097261129,0.9792881864739886,0.9540167940693866,0.849134149387385,0.9104902501158764,0.8588044169744279,0.9235325532431647,0.9807403473783158,0.8456634740005677,-0.14293308938589797,0.6343882572292638,0.8963731419441369,0.2297955919464495,0.9240321225483105,-0.4178541206147736,0.8295699737004023,0.8618105430606527,0.8575742086290811,0.8665783032466546,0.92296276870127,0.9460103105159627,0.9260433998263713,1.0,0.9956914043519084,0.9954788077672425,0.9169364995498525,0.9169702056820096,0.9944190754831523,0.9857831441440681,0.9845465522953042,0.9362368667314326,0.8310362578714305,0.9758200074487818,0.8913465000693268,0.9716913070643796,0.2095033456920787,0.21739341156318953,-0.9139874301891419,0.9101216093301193,0.8896325657082783,0.8826148732053878,0.956638411951099,-0.417664103743436,0.9528673080051195,0.9854437198292284,0.9810373645061223,0.9576859327267705,0.9395187078121101,0.9636881481778901,0.9822960527895378,0.9593701199855573,0.7590056501255532,0.8589608221083088
[IDX] S&P 500,0.917692081759018,0.7110350223433934,0.8846494084982267,0.8807717040644889,0.8534581783688148,0.9885705304894835,0.9728670678583073,0.8806014079544064,0.9374276914677536,0.8859079645978447,0.9495803703361991,0.9813595371834306,0.8437938564413116,-0.10671355342130985,0.6725108273192627,0.9263892412451296,0.4258354407796859,0.9562044403942592,-0.38226670680230873,0.8590283643944243,0.894168403066363,0.8907665608188673,0.897810613024211,0.947718531322463,0.9628643872005694,0.9490044734407772,0.9956914043519084,1.0,0.9999340375177049,0.9322267158903703,0.9323981028520262,0.9996229493925909,0.9960329623635507,0.995279506392501,0.948153920789466,0.86192400052858,0.9906185190127975,0.9210664101517257,0.9870973163847256,0.2550784607969639,0.26412833048959633,-0.9354711539006147,0.9502469640582998,0.9195862267272935,0.9138796565376326,0.9466133891240646,-0.42016902379148524,0.9725702790916168,0.99121275754556,0.9850260166246122,0.9488809854431856,0.9289426213620869,0.979148017532482,0.9902632821256692,0.9727201578153695,0.803391704491621,0.8940926562141223
[US] S&P500,0.9173725166200268,0.710772284340994,0.8844408573701145,0.8805893037131957,0.8539952791402886,0.9890786517228563,0.9726197392449042,0.8801283963632294,0.937055550453454,0.8858372841016064,0.9493077894364577,0.981412283241795,0.8465381313521722,-0.10516738409445225,0.6721994805591013,0.9259510827622639,0.4504993878969163,0.9549766521042558,-0.3826537604496744,0.8587531088268492,0.8934615258855408,0.8901271685564499,0.8974387070790683,0.9474470563656034,0.9626736148692533,0.9484677513179751,0.9954788077672425,0.9999340375177049,1.0,0.9318666637322751,0.9321011161275726,0.9995784459200132,0.9960809755503502,0.9954277894897119,0.9489640408070776,0.8617924233977505,0.990537242947199,0.9212010867182783,0.9873096102405167,0.25504723646407695,0.2638897018470464,-0.934760159784796,0.9493454363816017,0.919198715179298,0.9134643578660805,0.9464851637510107,-0.418508410683328,0.9723879156706171,0.9908513459309841,0.9849696454402871,0.9491159361577095,0.9294706600499858,0.9785104556841827,0.9905224255088011,0.9729854651586316,0.8019029382263393,0.8929554176887317
[IDX] 러셀 2000,0.9797287426537824,0.8922733294830223,0.9831721330408342,0.9825480702354146,0.6206819807092637,0.9231982534609674,0.9681212387523425,0.9744823465562334,0.9757380904562926,0.9797546535486781,0.9642740206349965,0.8881232339044104,0.666934756400955,0.21603346132459503,0.873115231210396,0.9612047715968979,0.06501339629835037,0.9691259299385766,-0.040492472158564795,0.9707234314989305,0.9626361326907301,0.9379121464157735,0.9768620527702423,0.9738070416694141,0.9355558432263734,0.9752718209480005,0.9169364995498525,0.9322267158903703,0.9318666637322751,1.0,0.9999470276349952,0.9407707493879466,0.9548214370734116,0.955362404970153,0.9728349827928555,0.9783215062607072,0.9449594886579027,0.9754843607050679,0.9394410632008334,0.5744427417158064,0.582273929114028,-0.8688760266602843,0.9583182011183549,0.9748146833239136,0.9720733499748451,0.7799635057773006,-0.22528232997743505,0.973557365887982,0.9123835870318026,0.8817041485665238,0.7845896357404852,0.751186467254159,0.9616664431728968,0.9367696092630463,0.9712169483113382,0.8601971493100798,0.9185983218985415
