Date,Open,High,Low,Close,Volume
2017-08-11,24904,25114,24719,24827,71531
2017-08-14,24929,25014,24782,24912,16159
2017-08-16,25080,25325,25065,25328,17936
2017-08-17,25396,25527,25316,25503,30697
2017-08-18,25290,25666,25290,25631,68044
2017-08-21,25736,25766,25623,25661,32785
2017-08-22,25746,25992,25746,25963,36216
2017-08-23,26073,26108,25752,25849,17246
2017-08-24,25830,25948,25802,25809,53409
2017-08-25,25964,26047,25899,26022,19422
2017-08-28,26054,26594,26054,26583,135713
2017-08-29,26507,26793,26427,26713,171722
2017-08-30,26813,26897,26621,26668,83667
2017-08-31,26758,26872,26566,26748,61176
2017-09-01,26879,27065,26805,26943,139713
2017-09-04,26178,26729,26129,26509,57941
2017-09-05,26649,26703,26237,26331,54071
2017-09-06,26277,26619,26277,26543,57558
2017-09-07,26705,26902,26665,26888,77016
2017-09-08,26912,26985,26651,26743,31721
2017-09-11,26755,26941,26705,26773,53826
2017-09-12,26936,26936,26670,26798,39369
2017-09-13,26872,26872,26596,26613,120517
2017-09-14,26605,27134,26595,27055,99645
2017-09-15,27052,27767,27052,27757,580443
2017-09-18,28036,28259,27909,27970,278739
2017-09-19,28070,28457,27863,28452,227097
2017-09-20,28504,29157,28484,28814,753795
2017-09-21,29083,29166,28434,28614,211181
2017-09-22,28588,28588,27759,27935,142437
2017-09-25,28041,28364,27709,27935,94744
2017-09-26,27804,28214,27774,27925,108862
2017-09-27,27927,28292,27922,28222,62017
2017-09-28,28334,28334,27834,27841,115989
2017-09-29,27899,28204,27719,27960,59339
2017-10-10,28247,28482,28214,28247,89231
2017-10-11,28339,28706,28339,28437,151653
2017-10-12,28588,29255,28548,29216,248536
2017-10-13,29366,30547,29366,29777,830769
2017-10-16,30076,30343,29476,29981,300715
2017-10-17,29943,31197,29838,31078,657517
2017-10-18,31390,32002,31040,31083,1163928
2017-10-19,31324,31369,30397,30526,382368
2017-10-20,30522,30958,30403,30908,321136
2017-10-23,30904,31315,30776,30883,118554
2017-10-24,30974,31618,30915,31584,216649
2017-10-25,31599,31599,31104,31197,216512
2017-10-26,31181,31211,30407,30411,253437
2017-10-27,30542,31023,30278,31018,117749
2017-10-30,30992,31017,30616,30698,144200
2017-10-31,30712,30998,30532,30983,89769
2017-11-01,31063,31463,31028,31314,206805
2017-11-02,31514,31609,31039,31197,194840
2017-11-03,31460,31933,31460,31937,425803
2017-11-06,32127,32172,31768,32175,340001
2017-11-07,32170,32170,31440,31604,271085
2017-11-08,31570,32182,31475,32185,187175
2017-11-09,32281,32418,32103,32141,350604
2017-11-10,32007,32328,31972,32279,158766
2017-11-13,32363,33675,32363,33669,703689
2017-11-14,33947,34846,33789,34800,420029
2017-11-15,34968,36892,34663,36535,502808
2017-11-16,36956,37452,35570,36959,507674
2017-11-17,36907,36917,36192,36644,374983
2017-11-20,36634,37728,36634,37730,380719
2017-11-21,37893,38663,37528,38033,474195
2017-11-22,38506,38506,36317,36320,375654
2017-11-23,35929,37534,35369,37536,703370
2017-11-24,37476,37821,36766,36770,213411
2017-11-27,36420,37130,36300,36746,150234
2017-11-28,37127,37285,35545,35546,140913
2017-11-29,35582,36186,35360,35919,147858
2017-11-30,36067,36137,35171,35432,129889
2017-12-01,35883,36820,35759,36721,121542
2017-12-04,36633,36972,36267,36540,128434
2017-12-05,36530,36540,35406,35452,99957
2017-12-06,35705,35799,34489,34870,65809
2017-12-07,35015,35025,33382,33818,227748
2017-12-08,33808,34211,33556,33629,45876
2017-12-11,33729,34798,33635,34800,39028
2017-12-12,35085,35140,34322,34672,37218
2017-12-13,34804,35404,34774,35338,112914
2017-12-14,35538,35665,34568,34920,56148
2017-12-15,34938,35464,34583,35000,40825
2017-12-18,35249,35339,34529,34542,116650
2017-12-19,34352,34582,33521,34557,57689
2017-12-20,34302,34688,34069,34086,59561
2017-12-21,33957,34181,33611,33614,52165
2017-12-22,33739,34901,33605,34850,43849
2017-12-26,34966,35953,34923,34925,96482
2017-12-27,36489,37469,36081,37472,247475
2017-12-28,37517,38006,37298,37938,226716
2018-01-02,38098,39171,37929,39095,384255
2018-01-03,39192,40322,39162,40104,429868
2018-01-04,40208,40407,38590,39040,315478
2018-01-05,39083,40672,39083,40675,222127
2018-01-08,41380,42612,41212,42615,457853
2018-01-09,42600,43290,41898,42148,430583
2018-01-10,42689,43266,40909,42278,432327
2018-01-11,42224,43830,42003,43832,262730
2018-01-12,43893,48990,43893,46827,579700
2018-01-15,47213,48701,46017,48621,421081
2018-01-16,48340,49084,47125,48284,402580
2018-01-17,48282,48457,45870,46006,354419
2018-01-18,45704,46741,45372,46423,215065
2018-01-19,46752,46806,43564,43901,254213
2018-01-22,43400,44130,42342,43564,428535
2018-01-23,44235,45417,43869,45421,135179
2018-01-24,46161,46380,45034,45445,175265
2018-01-25,45184,45546,44425,45167,168486
2018-01-26,44975,46167,44572,45971,130704
2018-01-29,45834,48201,45829,47858,325373
2018-01-30,48140,48806,47685,48070,279300
2018-01-31,47042,47651,46421,47095,137459
2018-02-01,47071,47404,45206,45297,339603
2018-02-02,45401,45680,44245,45187,210905
2018-02-05,43868,44404,42656,42660,220944
2018-02-06,40836,43093,40706,42870,458785
2018-02-07,43804,43844,40528,40530,139976
2018-02-08,40510,42614,39438,42396,176274
2018-02-09,40700,42928,40575,42253,99128
2018-02-12,42990,43968,42990,43042,167357
2018-02-13,43583,43812,42218,42223,90893
2018-02-14,42551,43682,42392,43668,48641
2018-02-19,44239,45023,43863,44979,147439
2018-02-20,44945,45274,43785,43867,97375
2018-02-21,43982,44734,43863,44367,73874
2018-02-22,44056,44600,43788,44318,75239
2018-02-23,44697,45421,44603,45192,185954
2018-02-26,45536,46082,45521,45738,219307
2018-02-27,46351,47015,45974,46832,300273
2018-02-28,45795,46956,45720,45966,180297
2018-03-02,45437,47036,45437,46956,164789
2018-03-05,47085,47884,46243,46861,375553
2018-03-06,47270,47444,46108,47060,132194
2018-03-07,45847,46384,44353,44526,316175
2018-03-08,44951,45975,44906,45976,269340
2018-03-09,45874,46404,45100,45371,136114
2018-03-12,45655,46232,44986,46091,78394
2018-03-13,46019,46054,45373,45872,90651
2018-03-14,45531,45968,45283,45724,55851
2018-03-15,46073,46905,45904,46522,173232
2018-03-16,46880,47060,46390,46632,137739
2018-03-19,46686,46910,46148,46150,44748
2018-03-20,45630,47160,45630,47144,92143
2018-03-21,47192,47750,47127,47233,311975
2018-03-22,47409,47810,45985,46190,158500
2018-03-23,44796,45735,43735,43872,193021
2018-03-26,43803,44849,43325,44770,156180
2018-03-27,45332,45445,44896,44900,82026
2018-03-28,44354,44587,43436,43787,100435
2018-03-29,44385,45856,44335,45857,195057
2018-03-30,46187,46286,45471,45699,106456
2018-04-02,45783,46106,45396,45465,84006
2018-04-03,44880,45658,44720,45495,66590
2018-04-04,45768,46365,45426,45738,97415
2018-04-05,45918,46732,45670,45782,178779
2018-04-06,45760,46232,45670,46061,53104
2018-04-09,46368,47472,46199,47428,216926
2018-04-10,47805,48181,47641,47957,436731
2018-04-11,48241,48321,47770,47942,137884
2018-04-12,48222,48247,46640,46832,147650
2018-04-13,46420,46950,45501,46881,204299
2018-04-16,46772,47370,46748,46896,101941
2018-04-17,46930,47015,46228,46419,107578
2018-04-18,46638,46845,45337,45425,203982
2018-04-19,45019,45173,43390,43584,295275
2018-04-20,43585,44309,42701,43777,175235
2018-04-23,43336,43476,41671,41712,179535
2018-04-24,41699,42521,41213,41295,123589
2018-04-25,41004,41963,40591,41603,122185
2018-04-26,42292,42599,42128,42436,54343
2018-04-27,42970,43574,42482,43560,125961
2018-04-30,43236,43589,41986,42436,107443
2018-05-02,40968,42342,40466,41080,227033
2018-05-03,41212,41745,40741,40743,105678
2018-05-04,40579,40644,38985,39067,190584
2018-05-08,39078,39977,37435,37437,96542
2018-05-09,37659,40196,37584,39917,99521
2018-05-10,40043,40247,39354,39684,52150
2018-05-11,39553,40794,39553,40246,92094
2018-05-14,40296,40491,39219,39257,26533
2018-05-15,39777,40446,39533,40122,77982
2018-05-16,40362,41177,40038,40778,111117
2018-05-17,41097,41097,40257,40628,40408
2018-05-18,41037,41339,40779,41080,61855
2018-05-21,41077,41369,41007,41239,39695
2018-05-23,41212,41212,39929,40291,63823
2018-05-24,40286,41190,40286,41090,53420
2018-05-25,41096,42306,41096,42103,176321
2018-05-28,41486,42195,41153,41801,52096
2018-05-29,41913,42616,41495,41497,64044
2018-05-30,41689,41689,40730,41626,88677
2018-05-31,41938,42034,41330,41502,36472
2018-06-01,41499,42486,41499,42288,62076
2018-06-04,42242,42242,40834,41134,79043
2018-06-05,41439,41594,40590,40832,57828
2018-06-07,40923,41423,40819,41348,32534
2018-06-08,41310,41519,40974,40976,23939
2018-06-11,40972,41141,40800,40887,34118
2018-06-12,41071,41828,41071,41423,76919
2018-06-14,41421,41761,41228,41761,81635
2018-06-15,41773,42500,41713,42406,189208
2018-06-18,42543,43105,41476,41781,135247
2018-06-19,41785,41800,39724,39724,74053
2018-06-20,40102,41479,39943,41339,114789
2018-06-21,41320,41320,40517,40518,52672
2018-06-22,40167,41279,40167,41194,39085
2018-06-25,41409,41439,40864,41274,26102
2018-06-26,40739,41518,40450,41438,43369
2018-06-27,41361,42204,41361,41562,111939
2018-06-28,41415,41650,40651,40743,22972
2018-06-29,41062,41260,40316,41075,123472
2018-07-02,41180,41438,40246,40339,25347
2018-07-03,40728,40912,39898,40354,62498
2018-07-04,40351,40909,39984,40256,20894
2018-07-05,40416,40600,39204,39858,24358
2018-07-06,40078,40794,39253,40703,38341
2018-07-09,40735,41246,40571,40902,17309
2018-07-10,41042,41067,40591,40593,32604
2018-07-11,40322,40482,39504,39704,41581
2018-07-12,39756,40439,39696,40384,22036
2018-07-13,39954,40679,39949,40548,18383
2018-07-16,40815,41325,40685,40897,42388
2018-07-17,40958,41032,40601,40713,16285
2018-07-18,40928,41172,40153,40256,28649
2018-07-19,40322,40487,39444,39709,61280
2018-07-20,39767,39890,39155,39415,63516
2018-07-23,39491,39506,37420,37472,86521
2018-07-24,37613,38008,37106,37272,46477
2018-07-25,37271,37366,35310,35510,80834
2018-07-26,36047,36554,35233,36135,102747
2018-07-27,36356,36525,36033,36225,77785
2018-07-30,35989,36396,35394,36175,45843
2018-07-31,36031,37310,36031,37312,30049
2018-08-01,37669,38766,37614,38277,118778
2018-08-02,38452,38457,37544,38039,37590
2018-08-03,38334,38507,38139,38361,50644
2018-08-06,38357,38745,37979,37984,32274
2018-08-07,38049,38556,37444,38396,83413
2018-08-08,38718,38904,38459,38751,20269
2018-08-09,38268,38839,38148,38844,25012
2018-08-10,38839,39352,38419,38721,60796
2018-08-13,38551,38551,36946,37089,59786
2018-08-14,37016,37697,37011,37347,52565
2018-08-16,36961,37143,36230,37039,86170
2018-08-17,37125,38347,37125,38099,39505
2018-08-20,38501,38565,37795,37929,20953
2018-08-21,38038,39112,38038,38912,76090
2018-08-22,39038,39291,38647,38790,12687
2018-08-23,38950,39073,38464,39042,30344
2018-08-24,39131,39944,38996,39749,26587
2018-08-27,40141,40466,40013,40072,85763
2018-08-28,40437,40437,39554,39554,25661
2018-08-29,39752,39895,39624,39704,12102
2018-08-30,39702,39914,39504,39614,129060
2018-08-31,39852,40932,39692,40887,138423
2018-09-03,40854,41012,40502,40768,64815
2018-09-04,41013,41869,41013,41781,171351
2018-09-05,41858,42079,41142,41234,81124
2018-09-06,41240,41494,40619,41065,54735
2018-09-07,40963,41264,40799,41204,30808
2018-09-10,41201,41360,40675,40887,29233
2018-09-11,40854,41155,40674,41129,18069
2018-09-12,41152,42089,41152,41940,65402
2018-09-13,42249,42837,41978,42840,122689
2018-09-14,42513,42950,42145,42795,95015
2018-09-17,43076,43346,42936,43128,125845
2018-09-18,42964,43454,42715,43395,61192
2018-09-19,43395,43590,42965,43346,71748
2018-09-20,43342,44763,42985,43371,253476
2018-09-21,43697,43820,43110,43728,38199
2018-09-27,43576,44222,43427,43932,32644
2018-09-28,43964,44217,43119,43341,111772
2018-10-01,43335,43435,41982,42560,105439
2018-10-02,42557,42572,40880,40882,83570
2018-10-04,40889,41549,40451,41174,104490
2018-10-05,40958,41310,39959,40152,146427
2018-10-08,39969,40601,39654,39714,58053
2018-10-10,39923,40067,39020,39107,42457
2018-10-11,37794,38432,37195,37287,57552
2018-10-12,37230,38362,36986,38346,100170
2018-10-15,38362,38362,36786,36909,23022
2018-10-16,37040,37661,36865,37158,138408
2018-10-17,38029,38054,36902,37258,35666
2018-10-18,37360,37460,36606,36634,59679
2018-10-19,36431,37766,36008,37626,66803
2018-10-22,37161,37761,36937,37671,78931
2018-10-23,36713,36818,35375,35500,45151
2018-10-24,35691,36073,34122,34188,51771
2018-10-25,33063,34355,32520,34108,74045
2018-10-26,34496,34496,32329,32676,92809
2018-10-29,32622,33433,31590,31594,66227
2018-10-30,31305,32634,30930,32638,57202
2018-10-31,32717,32717,31459,31748,77965
2018-11-01,32048,33305,31918,32264,261267
2018-11-02,32848,34241,32733,34242,64687
2018-11-05,34741,35183,34428,34868,77228
2018-11-06,35314,35479,34484,35072,40337
2018-11-07,35318,35654,34444,34540,64602
2018-11-08,35258,35258,34726,34803,141580
2018-11-09,34759,34779,33408,33685,62005
2018-11-12,32687,32722,31251,31344,80772
2018-11-13,30656,32097,30656,31952,193350
2018-11-14,31738,33626,31590,32598,181757
2018-11-15,32828,33285,32449,33243,107537
2018-11-16,33341,34449,33317,33994,105080
2018-11-19,34251,35119,34082,35102,53683
2018-11-20,34839,35248,34751,34823,34180
2018-11-21,34290,34946,33791,34948,60680
2018-11-22,35040,35184,34527,34695,12499
2018-11-23,34691,35159,34201,34347,14683
2018-11-26,34346,35586,34346,35485,26958
2018-11-27,35710,35774,35255,35430,26271
2018-11-28,35610,35750,35205,35341,8195
2018-11-29,36113,36252,35077,35097,18922
2018-11-30,35128,35488,34961,35052,17987
2018-12-03,35715,35957,35538,35898,21790
2018-12-04,35923,36360,35873,36125,20966
2018-12-05,35528,35867,35388,35858,18821
2018-12-06,35694,35744,34776,34863,33418
2018-12-07,35056,35685,34972,35555,18121
2018-12-10,35085,35809,34742,35361,30916
2018-12-11,35735,35789,34211,34337,39274
2018-12-12,34577,35124,34499,35077,26496
2018-12-13,35145,35445,34682,35445,67178
2018-12-14,35036,35036,33812,34053,31335
2018-12-17,34019,34114,32842,33710,32933
2018-12-18,33061,34278,33061,33740,38904
2018-12-19,33916,34810,33876,34680,93271
2018-12-20,34286,35129,34106,34337,62442
2018-12-21,34260,34770,34160,34610,47757
2018-12-24,34429,34493,34037,34083,86470
2018-12-26,33334,34731,33290,34733,20888
2018-12-27,35997,36126,34856,34963,44759
2018-12-28,35160,35478,35006,35341,21753
2019-01-02,35556,35763,34582,34645,24783
2019-01-03,34705,34979,33801,33845,28504
2019-01-04,33726,34946,33547,34948,38910
2019-01-07,35729,35937,34726,34803,67335
2019-01-08,35025,35025,34434,34535,34858
2019-01-09,34855,34990,34385,34670,73538
2019-01-10,34781,35083,34661,34943,15368
2019-01-11,35073,35073,34771,34773,25396
2019-01-14,34776,34776,34361,34397,17756
2019-01-15,34561,34850,34166,34332,19022
2019-01-16,34432,34432,33766,33910,68053
2019-01-17,33995,34305,33322,33323,52748
2019-01-18,33539,34190,33539,34123,372968
2019-01-21,34323,34323,33637,33735,21414
2019-01-22,33799,33924,33696,33770,23807
2019-01-23,33760,33785,33538,33661,6630
2019-01-24,33697,34541,33623,34461,214123
2019-01-25,34566,34744,34349,34724,7895
2019-01-28,34811,35218,34711,34838,103277
2019-01-29,34879,34879,34458,34709,14557
2019-01-30,34911,35113,34781,34958,18242
2019-01-31,35274,35739,35274,35689,52589
2019-02-01,35690,35774,35260,35391,27136
2019-02-07,35390,35458,34996,35396,223395
2019-02-08,35399,35853,35399,35674,81279
2019-02-11,35843,36230,35823,36086,49236
2019-02-12,36152,36182,35577,35699,27460
2019-02-13,35710,35997,35635,35853,41443
2019-02-14,35852,35962,35503,35728,17817
2019-02-15,35768,35873,35479,35719,16352
2019-02-18,35863,36270,35818,36042,71162
2019-02-19,36172,36499,35919,36469,55089
2019-02-20,36509,36529,36272,36384,39046
2019-02-21,36440,36440,35844,35868,358585
2019-02-22,35862,36006,35660,35753,33938
2019-02-25,35596,35740,35410,35550,46196
2019-02-26,35650,35984,35415,35505,47664
2019-02-27,35503,35882,35493,35833,24885
2019-02-28,36027,36776,35773,36057,147031
2019-03-04,36647,37120,36549,37119,82041
2019-03-05,37121,37668,37016,37367,110388
2019-03-06,37592,37642,36731,36989,112942
2019-03-07,36986,37145,36222,36374,40384
2019-03-08,36187,36599,36012,36379,49857
2019-03-11,36377,36445,35685,36379,20926
2019-03-12,36618,37218,36618,37049,129075
2019-03-13,37064,37528,36906,37044,59525
2019-03-14,37264,37389,36580,36677,84531
2019-03-15,36469,36568,35838,36007,69298
2019-03-18,36181,36320,35769,35813,46861
2019-03-19,35978,36261,35597,35679,44041
2019-03-20,35828,35833,35274,35639,79735
2019-03-21,35635,35740,35072,35082,42805
2019-03-22,35078,35323,34881,34993,54215
2019-03-25,34761,34965,34316,34317,30343
2019-03-26,34394,34805,34385,34640,21922
2019-03-27,34551,34805,33523,33676,81459
2019-03-28,33403,33721,33017,33243,114856
2019-03-29,33498,33666,33091,33541,36152
2019-04-01,33384,33819,33296,33795,42508
2019-04-02,33846,34246,33791,34247,38931
2019-04-03,34261,34651,34081,34506,45266
2019-04-04,34631,34641,34216,34432,26688
2019-04-05,34463,34491,33766,33974,86343
2019-04-08,34180,34255,33992,34143,21258
2019-04-09,34141,34521,34101,34466,22677
2019-04-10,34443,34939,34364,34758,47133
2019-04-11,34867,35239,34807,35117,64373
2019-04-12,35116,35299,34912,35187,223867
2019-04-15,35173,35173,34736,34813,19828
2019-04-16,34581,35059,34551,34848,46962
2019-04-17,34876,35059,34841,34893,14204
2019-04-18,34890,34940,34006,34202,212174
2019-04-19,34340,35315,34206,35316,51366
2019-04-22,35365,35799,35315,35505,59288
2019-04-23,35503,35556,35085,35460,57647
2019-04-24,35457,35517,34861,34908,23827
2019-04-25,34781,34781,34291,34317,76111
2019-04-26,34286,34512,34166,34387,37949
2019-04-29,34503,34810,34344,34794,35642
2019-04-30,34712,34790,34424,34724,17842
2019-05-02,34772,34812,34421,34501,28732
2019-05-03,34483,34483,34091,34332,46063
2019-05-07,33799,34134,33656,33794,38837
2019-05-08,33611,33641,33206,33206,145969
2019-05-09,33495,33585,32751,32774,19964
2019-05-10,32925,33085,32085,32346,24573
2019-05-13,32168,32223,31296,31400,31776
2019-05-14,30870,32069,30870,31615,40722
2019-05-15,31989,32382,31660,32385,223031
2019-05-16,32358,32671,31846,31923,186148
2019-05-17,32094,32243,31601,31620,20427
2019-05-20,31784,31819,30671,30752,15254
2019-05-21,30276,30814,30276,30474,26681
2019-05-22,30671,30944,30646,30837,20306
2019-05-23,30903,30903,30192,30269,14611
2019-05-24,30153,30344,29989,30234,14057
2019-05-27,30297,30297,29712,29813,44068
2019-05-28,29854,30658,29854,30643,19949
2019-05-29,30431,30431,29677,29828,54761
2019-05-30,29870,29885,29227,29595,359080
2019-05-31,29600,30529,29475,30344,36026
2019-06-03,30326,30619,30118,30529,9247
2019-06-04,30555,30848,30500,30737,34368
2019-06-05,30939,30989,30561,30599,30237
2019-06-07,30723,30778,30545,30638,42865
2019-06-10,30999,30999,30796,30922,20302
2019-06-11,30830,31369,30830,31365,8701
2019-06-12,31359,31359,31084,31290,9583
2019-06-13,31286,31564,31203,31375,16336
2019-06-14,31370,31425,31015,31156,12664
2019-06-17,31153,31163,30956,30982,11723
2019-06-18,30874,31286,30851,30862,48444
2019-06-19,31070,31261,31070,31196,5277
2019-06-20,31320,31753,31320,31679,14794
2019-06-21,31704,31749,31396,31540,13194
2019-06-24,31565,31565,31159,31181,7972
2019-06-25,31178,31296,30851,31017,8551
2019-06-26,31016,31346,30856,31107,14919
2019-06-27,31102,31137,30063,30234,15263
2019-06-28,30232,30396,29757,29858,25076
2019-07-01,30109,30739,30109,30614,60161
2019-07-02,30619,30779,30391,30494,6719
2019-07-03,30449,30714,30291,30359,42354
2019-07-04,29855,29885,29157,29460,28292
2019-07-05,29457,29950,29422,29908,13541
